cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
0,665,2637,0,1869,73,3.4044,0.38400280587046
0,607.1031746032,2241,0.37,2190,139,3.2834,0.678296993465447
0.73,601.2773722628,2236,0.481,3201,200,3.3695,0.684073410762633
0,599.3571428571,2244,0.341,148,8,3.6098,0.504360535031041
0,599.6666666667,2249,0.287,32,4,4,0
0.26,598.1398416887,2243,0.287,5099,442,3.6789,0.594715359720484
0.9,605.7747747748,2269,0,3098,133,4.0339,0.556258284529059
0,605.2592592593,2266,0,768,94,3.6398,0.476553656877994
0,604.5714285714,2280,0,250,52,3.4247,0
1.79,594.0357142857,2246,0.17,1553,54,3.7064,0.582575380263291
0,594,2248,0.198,1252,45,3.9125,0.592972800482303
0.51,601.7538461538,2235,0.177,5116,278,3.4267,0.637940642001275
0,597.5714285714,2237,0.319,40,6,2.6667,0
100,596,2251,0.09,2214,120,3.8238,0.592143505414983
90,597,2239,0.307,702,39,3.5816,0.461965526255125
0,602.8387096774,2259,0.003,220,20,3.6066,0.530562359407269
0,604.701754386,2244,0.402,105,14,2.9167,0.395077708595717
1,603.02,2238,0.645,3541,202,3.6694,0.561361667676697
0,603.9184782609,2237,0.282,4723,344,3.5115,0.548735829489931
0,603.6282051282,2236,0.399,4353,250,3.6245,0.551692803445322
97.44,595.9743589744,2251,0.097,2091,198,3.6556,0.52429060002282
56.52,594.9420289855,2251,0.207,2480,104,3.6364,0.589957468290406
26.79,594.5178571429,2257,0.122,2104,78,3.6912,0.597157177823956
72.41,596.224137931,2247,0.301,3499,94,3.7664,0.636519495573612
95.12,595.9024390244,2250,0.232,2732,139,4.0474,0.625393082624292
47.52,601.2978723404,2238,0.264,3712,229,3.6571,0.643406343425175
25,599.1684782609,2235,0.423,4116,282,3.1759,0.682190953043161
33.33,596,2249,0.206,4,0,4,0
0,602.6458333333,2250,0.113,1732,351,2.3469,0.707573756104545
2.04,600.5510204082,2253,0.192,1712,246,2.4598,0.691782450511461
55.56,595.8611111111,2259,0.115,817,206,3.4042,0.51732851475009
0,604.6,2246,0,414,29,3.479,0.554665463736115
8.33,596.0833333333,2263,0.196,221,55,3.5079,0.484871094964892
84,603.68,2236,1.888,754,214,3.2361,0.394077377676741
100,603.8235294118,2237,2.53,1295,427,3.0328,0.455083494589206
0,603,2235,1.158,5660,1142,2.1644,0.728520894213852
0,602.9523809524,2236,2.69,5315,817,2.3845,0.686024959374715
0,601.75,2234,5.633,6230,1315,2.0801,0.685523283861401
0,602.4090909091,2237,4.525,7937,1527,2.2152,0.636545361662171
0,602.347826087,2237,2.506,2985,616,2.1036,0.635570537558768
93.75,604,2237,3.478,1621,153,3.8231,0.565922182564308
0,605.2555555556,2236,0.184,4199,193,3.5889,0.492843352189748
15.38,603.9230769231,2237,2.034,3489,122,3.7196,0.491551768706409
100,603.6486486486,2239,6.164,4186,1154,3.618,0.563272691667119
100,604,2237,2.019,1356,233,3.6257,0.414568438188248
100,603.8,2238,3.609,3203,865,3.5237,0.511604521451357
100,603.5454545455,2239,5.076,2547,0,3.2405,0.524069227435317
100,603,2239,2.703,1563,446,3.5045,0.393893772787052
100,602.4444444444,2240,4.154,1165,356,3.2725,0.448466408397967
90.48,602.1428571429,2239,6.051,1681,530,3.1538,0.432222021984381
100,603.75,2239,9.256,3304,1003,3.2843,0.557862337951177
100,603,2238,5.144,2645,798,3.2816,0.540333387725304
0,595.3068181818,2254,0,2513,86,4.0016,0.596181118290592
1.16,593.6279069767,2247,0.018,1853,80,3.7134,0.632377954003672
0,594.5882352941,2255,0,205,19,3.5965,0.495847792937419
70.54,875.0310077519,2454,0,5556,321,3.1858,0.644261627419495
98.52,890.8148148148,2468,0,7596,210,3.9853,0.576380205136586
75.81,899.314516129,2470,0,5980,173,3.9008,0.5177214449107
94.44,897.5555555556,2480,0,2209,56,3.8687,0.46847546320907
24,902.92,2472,0,840,47,3.75,0.474932383962508
85.53,884.4736842105,2456,0,4050,143,3.5248,0.642251474669967
78.45,887.8965517241,2459,0,4996,207,4.0032,0.547986042103233
0,860.1764705882,2446,0,10,0,3.3333,0
4.76,860.4285714286,2447,0,0,0,0,0
0,913.94,2488,0,450,54,2.9605,0.234850763081392
1,840.35,2449,0,1792,89,3.5345,0.538339792426712
1.72,966.8275862069,2583,0,2516,57,4.1794,0.304836282569717
0,977.7804878049,2639,0,2115,140,4.2727,0.224585200442891
87.23,592.829787234,2239,3.408,4079,87,4.8101,0.628647504684298
52.46,592.6803278689,2237,2.076,6695,195,4.4133,0.58735298786169
22.95,592.4754098361,2239,2.038,1998,83,4.0943,0.595023362039326
32.14,592.9285714286,2239,3.607,1036,37,4.1943,0.637496033275336
3.9,592.5584415584,2237,1.741,1794,89,3.917,0.546684289962671
3.92,592.8823529412,2242,3.766,807,43,3.8066,0.568728148326046
0,593.1875,2240,2.347,530,19,4.0769,0.571491139230726
0,592.9444444444,2245,3.106,185,18,4.0217,0.466241285949092
0,595.0416666667,2237,0.724,4659,156,4.0513,0.569266394176039
2.44,594.8292682927,2239,0.839,1106,79,3.8807,0.599454875682941
0,594.5,2240,0.952,105,21,4.0385,0.493358419524367
0,594.4090909091,2237,0.741,673,63,3.2512,0.444333663577978
0,594.0769230769,2238,0.761,118,13,2.95,0.470767602406023
1.52,596.3181818182,2235,3.479,3692,111,4.035,0.622764220125103
0,595.84375,2236,1.902,715,60,3.4375,0.521370145449169
0,599.3703703704,2235,2.833,2875,128,3.6765,0.562577762461458
